scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic
0.48071172282336383,"[-0.1978453525225632, 0.2035445559769869, 0.2109447249935733, 0.4323015928268433, 0.6199164291222891, 0.15589810277406985, 1.3790360211195158, 0.6321828044950962, 0.7621820420026779, 0.46321962028741837, 0.6264484099810943]","[-21.391785047017038, -41.96508924290538, -27.804685715585947, -14.819648444652557, -22.92816796898842, -36.09313717484474, -16.684253716142848, -16.845390178263187, -11.729470133781433, -22.985998958349228, -20.026572595350444]","[-19.809022226836532, -44.00053480267525, -29.703188240528107, -16.981156408786774, -28.50741583108902, -38.11981251090765, -26.33750586397946, -23.16721822321415, -16.3025623857975, -27.61819516122341, -25.0381598751992]",A short story about M and K
0.7114021123557542,"[-0.051946850726380944, 0.4878445155918598, 0.8861883179181151, 1.2647191107273101, 0.631645272175471, 0.07114116202753323, 1.539117852491992, 0.8385522656142712, 1.067697321375211, 0.34877306073904035, 0.7416912079788744]","[-25.571580631658435, -36.89132083207369, -26.56764394417405, -13.242117881774902, -24.232733100652695, -34.872274344787, -17.469758830964565, -14.293615691363811, -12.168947547674179, -23.262493170797825, -16.20866127568297]","[-25.156005825847387, -41.76976598799229, -34.54333880543709, -19.565713435411453, -29.917540550231934, -35.797109451144934, -28.24358379840851, -22.679138347506523, -18.575131475925446, -26.75022377818823, -22.142190939513966]",A short story about M and K getting a divorce
