scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic
0.5373888958171573,"[0.03367784288194445, 0.14458465576171875, 0.3040008544921875, 0.79765625, 0.04796006944444445, 0.2534132737379808, 0.9808523995535714, 0.7885298295454546, 0.9033203125, 0.5744140625, 1.0828683035714286]","[-21.01171875, -41.41975402832031, -30.23486328125, -13.4609375, -29.232421875, -35.07598876953125, -18.455078125, -25.05859375, -14.494140625, -22.150390625, -20.455078125]","[-21.3148193359375, -42.8656005859375, -32.6668701171875, -17.44921875, -29.6640625, -38.370361328125, -25.321044921875, -33.732421875, -19.9140625, -27.89453125, -28.03515625]",A short story about M and K
0.47384703880633944,"[-0.04212782118055555, 0.0267547607421875, 0.22684478759765625, 0.9546875, 0.17903645833333334, 0.18632155198317307, 1.0994349888392858, 0.4914772727272727, 1.0748697916666667, 0.434521484375, 0.5804966517857143]","[-21.296142578125, -41.854949951171875, -30.14410400390625, -12.59375, -29.009765625, -34.44219970703125, -18.56396484375, -24.662109375, -14.42578125, -21.89306640625, -19.4755859375]","[-20.9169921875, -42.12249755859375, -31.9588623046875, -17.3671875, -30.62109375, -36.8643798828125, -26.260009765625, -30.068359375, -20.875, -26.23828125, -23.5390625]",A short story about M and K getting a divorce
