scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic
0.40755007714671376,"[0.10468795453198254, 0.20425231009721756, 0.11759726372030047, -0.38331553936004636, 0.8701324926482307, 0.08804607577621937, 0.48593210455562386, 0.6108239304274321, 1.0671550097564857, 0.608588457107544, 0.7091507893528615]","[-18.161442769691348, -40.002224922180176, -30.307429865002632, -17.91841232776642, -22.40839248895645, -38.24622831493616, -24.244736334308982, -17.78367391601205, -13.401273660361767, -23.193435296416283, -21.190637906634947]","[-18.99894640594721, -42.04474802315235, -31.365805238485336, -16.001834630966187, -30.239584922790527, -39.39082730002701, -27.64626106619835, -23.89191322028637, -19.80420371890068, -29.279319867491722, -26.86384422145784]",A short story about M and K
0.5235733980045943,"[0.04219059576280415, 0.7238765880465508, 0.24506031307909223, 0.2476690411567688, 0.9992239475250244, -0.1334494691915237, 1.0502377152442932, 0.6706862460821867, 0.8949430137872696, 0.6701364912092685, 0.34873289534880314]","[-22.121821485459805, -35.926692590117455, -33.64539788663387, -17.504870533943176, -22.178503155708313, -37.34399523306638, -23.63973742723465, -14.760778311640024, -14.82557037472725, -22.502294652163982, -19.083668643492274]","[-22.459346251562238, -43.16545847058296, -35.8509407043457, -18.74321573972702, -31.171518683433533, -35.60915213357657, -30.991401433944702, -21.46764077246189, -20.195228457450867, -29.203659564256668, -21.8735318062827]",A short story about M and K getting a divorce
