topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,0,-0.4683685302734375,-37.88755798339844,-64.14453125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.21858723958333334,-31.6552734375,-56.44921875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.2504238552517361,-45.978515625,-65.197265625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.21858723958333334,-28.10107421875,-42.38671875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.2504238552517361,-30.755859375,-61.4765625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.21858723958333334,-26.47216796875,-45.92138671875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.2504238552517361,-37.23828125,-42.1875,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.21858723958333334,-47.34452819824219,-71.76253509521484,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.2504238552517361,-51.10366439819336,-71.618408203125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,1,0.7568227979871962,-30.421875,-42.458984375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,1,0.7112935384114584,-22.559814453125,-50.3828125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,1,0.7568227979871962,-31.4765625,-47.5078125,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,1,0.7112935384114584,-63.52734375,-76.203125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,1,0.7568227979871962,-25.583892822265625,-31.19329833984375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,1,0.7112935384114584,-40.017578125,-66.509765625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,1,0.7568227979871962,-33.55859375,-33.105224609375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,1,0.7112935384114584,-70.2669677734375,-74.77459716796875,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,1,0.7028043535020616,-45.673377990722656,-77.01715087890625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,1,0.5948707262674967,-37.91105651855469,-71.4765625,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,1,0.7028043535020616,-30.9423828125,-56.23046875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,1,0.5948707262674967,-46.7314453125,-60.4208984375,clairvoyant
