,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id
0,1.0492866436906831,"[-0.16718174861027643, 0.599609375, 0.4356356534090909, 1.0386681189903846, 0.19635371157997533, 1.4211319514683314, 1.0202824519230769, 1.700970458984375, 1.5896935096153846, 0.33970424107142855, 0.9631569602272727, 0.36283735795454547, 1.5057896205357142, 1.3115997314453125, 1.986767578125, 1.6698893229166667, 1.4823521205357142, 0.9749348958333334, 1.504250919117647]","[-32.92499542236328, -21.421875, -26.5048828125, -27.697021484375, -53.77873420715332, -29.436519622802734, -32.9677734375, -21.09869384765625, -18.66357421875, -38.302734375, -22.7666015625, -96.599609375, -51.4716796875, -34.8291015625, -27.90966796875, -41.0858154296875, -35.7626953125, -46.6484375, -51.337890625]","[-30.751632690429688, -26.21875, -31.296875, -41.19970703125, -57.50945472717285, -49.332366943359375, -46.2314453125, -38.1083984375, -39.32958984375, -43.05859375, -33.361328125, -104.58203125, -72.552734375, -55.814697265625, -47.77734375, -66.1341552734375, -56.515625, -58.34765625, -76.91015625]",A short story about a couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct
1,1.0208824527116536,"[-0.17242431640625, 0.6787109375, 0.6725852272727273, 1.2153132512019231, 0.18141043813605057, 1.3412471498761858, 1.1102013221153846, 1.76422119140625, 1.5570725661057692, 0.46290806361607145, 0.8855646306818182, 0.32191051136363635, 1.1224190848214286, 1.2794036865234375, 1.92724609375, 1.7256388346354166, 1.4892578125, 0.7054036458333334, 1.1286764705882353]","[-32.19871520996094, -21.09375, -26.23046875, -26.661376953125, -55.05848407745361, -29.053197860717773, -32.59375, -21.5999755859375, -18.599609375, -36.967529296875, -23.3857421875, -94.0703125, -51.66796875, -35.098388671875, -27.7119140625, -41.461669921875, -36.51953125, -45.1484375, -49.2734375]","[-29.957199096679688, -26.5234375, -33.62890625, -42.46044921875, -58.505282402038574, -47.830657958984375, -47.0263671875, -39.2421875, -38.841552734375, -43.4482421875, -33.126953125, -101.15234375, -67.3818359375, -55.56884765625, -46.984375, -67.34625244140625, -57.369140625, -53.61328125, -68.4609375]",A short dystopian story about a couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct
2,0.9564228939657197,"[-0.1435693594125601, 0.8017578125, 0.6097966974431818, 1.2961050180288463, 0.3619085111116108, 1.487938744681222, 1.2831280048076923, 1.80177001953125, 1.8204251802884615, 0.39408656529017855, 0.8717151988636364, 0.2863103693181818, 0.8251953125, 0.6739501953125, 1.574853515625, 1.4168904622395833, 1.2678571428571428, 0.4905598958333333, 1.0513556985294117]","[-37.45542907714844, -21.3046875, -26.811767578125, -26.583740234375, -53.60483646392822, -29.313480377197266, -33.4267578125, -22.1463623046875, -18.21044921875, -33.052001953125, -25.380859375, -94.474609375, -49.873046875, -35.96142578125, -28.96240234375, -41.4383544921875, -36.0546875, -47.19921875, -47.931640625]","[-35.589027404785156, -27.71875, -33.51953125, -43.43310546875, -60.48109817504883, -50.144622802734375, -50.107421875, -40.1640625, -41.8759765625, -38.5692138671875, -34.9697265625, -100.7734375, -61.42578125, -46.74462890625, -44.7109375, -62.69171142578125, -53.8046875, -53.0859375, -65.8046875]",A short story about a robot couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct
3,0.9657186391944812,"[-0.24543644831730768, 0.5634765625, 0.5077237215909091, 1.0781625600961537, 0.40157569050788877, 0.9758488581730769, 1.0397385817307692, 1.5217013888888888, 1.4909261067708333, 0.15726143973214285, 1.3123224431818181, 0.5633433948863636, 1.7528599330357142, 0.83306884765625, 1.34520263671875, 1.3841064453125, 1.67529296875, 0.9456380208333334, 1.0458409926470589]","[-39.395751953125, -22.2734375, -29.9345703125, -30.01806640625, -52.15181481838226, -31.51611328125, -27.1982421875, -23.134765625, -20.10498046875, -34.87353515625, -21.556640625, -99.8173828125, -45.6123046875, -37.9794921875, -33.6729736328125, -40.6671142578125, -36.3251953125, -42.05078125, -49.732421875]","[-36.205078125, -26.78125, -35.51953125, -44.0341796875, -60.18332862854004, -44.2021484375, -40.71484375, -36.830078125, -37.99609375, -37.0751953125, -35.9921875, -112.2109375, -70.15234375, -51.30859375, -47.125, -61.4287109375, -59.779296875, -53.3984375, -67.51171875]",A short story about a couple having dinner,openai-community/gpt2-xl
4,1.0097559742570852,"[-0.1588416466346154, 1.005859375, 0.5516690340909091, 1.1659405048076923, 0.49486167430877687, 1.0814678485576923, 1.0793269230769231, 1.6497395833333333, 1.5595703125, 0.21139090401785715, 1.2961647727272727, 0.5939275568181818, 1.5455496651785714, 0.755828857421875, 1.4894775390625, 1.53203125, 1.6474609375, 0.7431640625, 0.9407743566176471]","[-38.55029296875, -22.0703125, -30.486328125, -29.9951171875, -51.70662069320679, -31.49169921875, -27.3203125, -22.947265625, -20.4140625, -34.30908203125, -21.65234375, -97.94140625, -45.9970703125, -38.28515625, -33.792724609375, -40.7548828125, -36.501953125, -41.6171875, -49.658203125]","[-36.4853515625, -30.1171875, -36.5546875, -45.15234375, -61.603854179382324, -45.55078125, -41.3515625, -37.794921875, -39.12890625, -37.2685546875, -35.91015625, -111.0078125, -67.634765625, -50.37841796875, -48.6875, -63.7353515625, -59.56640625, -50.53515625, -65.6513671875]",A short dystopian story about a couple having dinner,openai-community/gpt2-xl
5,0.9019017138876603,"[-0.22916353665865385, 0.83203125, 0.7398792613636364, 1.3043494591346154, 0.5960147440433502, 1.1459256685697115, 1.2260366586538463, 1.6623263888888888, 1.5991617838541667, 0.20940290178571427, 1.3938210227272727, 0.46049360795454547, 1.2801339285714286, 0.254364013671875, 1.269287109375, 1.0821533203125, 1.3056640625, 0.2880859375, 0.7161649816176471]","[-40.7730712890625, -21.8515625, -29.490234375, -29.47314453125, -51.846068263053894, -31.71429443359375, -27.5146484375, -23.154296875, -20.27392578125, -34.2216796875, -22.435546875, -95.080078125, -44.6484375, -39.5830078125, -33.60400390625, -40.3790283203125, -37.314453125, -43.7578125, -48.458984375]","[-37.7939453125, -28.5078125, -37.62890625, -46.4296875, -63.7663631439209, -46.611328125, -43.453125, -38.115234375, -39.4638671875, -37.1533203125, -37.767578125, -105.2109375, -62.5703125, -43.65283203125, -46.296875, -56.611328125, -55.59375, -47.21484375, -60.6337890625]",A short story about a robot couple having dinner,openai-community/gpt2-xl
6,1.1117742079326756,"[-0.09004563551682693, 0.59423828125, 0.21129261363636365, 0.9833608774038461, 0.32715807462993424, 1.1772911889212472, 0.6044170673076923, 1.5402923583984376, 1.030517578125, 0.3013916015625, 1.2883522727272727, 0.5403053977272727, 2.4820731026785716, 1.731781005859375, 1.622998046875, 2.36328125, 1.4622628348214286, 1.2027994791666667, 1.7499425551470589]","[-32.343505859375, -18.13671875, -31.25390625, -23.140625, -43.7689208984375, -27.813425064086914, -24.64453125, -18.618560791015625, -18.209716796875, -33.744384765625, -21.31640625, -91.32421875, -38.966796875, -25.99560546875, -26.36376953125, -32.460205078125, -30.564453125, -35.81640625, -26.7197265625]","[-31.17291259765625, -22.890625, -33.578125, -35.92431640625, -49.98492431640625, -44.295501708984375, -32.501953125, -34.021484375, -31.6064453125, -37.9638671875, -35.48828125, -103.2109375, -73.7158203125, -53.7041015625, -42.59375, -67.909423828125, -51.0361328125, -50.25, -56.46875]",A short story about a couple having dinner,allenai/OLMo-2-1124-13B
7,1.042314715150041,"[-0.1388268103966346, 0.61328125, 0.3909357244318182, 1.0804537259615385, 0.3451887431897615, 1.3184567860194616, 0.5643028846153846, 1.4571807861328125, 1.1062950721153846, 0.36722237723214285, 1.1614879261363635, 0.37220348011363635, 2.186488560267857, 1.50445556640625, 1.31513671875, 2.152880859375, 1.55224609375, 0.982421875, 1.47216796875]","[-31.7532958984375, -17.453125, -30.51220703125, -23.755859375, -43.271854400634766, -26.363733291625977, -24.537109375, -18.428192138671875, -18.021728515625, -30.48291015625, -21.6044921875, -89.0498046875, -39.27099609375, -25.214111328125, -26.7197265625, -32.430908203125, -30.4453125, -35.578125, -26.40869140625]","[-29.94854736328125, -22.359375, -34.8125, -37.8017578125, -49.830440521240234, -44.82212829589844, -31.873046875, -33.0, -32.403564453125, -35.6240234375, -34.380859375, -97.23828125, -69.8818359375, -49.285400390625, -39.87109375, -64.72412109375, -52.1767578125, -47.3671875, -51.435546875]",A short dystopian story about a couple having dinner,allenai/OLMo-2-1124-13B
8,0.9612941141499409,"[-0.06280517578125, 0.7548828125, 0.46675248579545453, 1.0888671875, 0.43788267436780426, 1.3037876401628767, 0.6906550480769231, 1.671331787109375, 1.3216458834134615, 0.24375697544642858, 1.4113991477272727, 0.20472301136363635, 1.4399065290178572, 0.9346694946289062, 1.13037109375, 1.5733968098958333, 1.5708356584821428, 0.5911458333333334, 1.4913832720588236]","[-35.4432373046875, -18.96875, -31.52197265625, -23.7353515625, -44.59485626220703, -27.881311416625977, -25.3046875, -18.49761962890625, -17.702880859375, -27.08154296875, -20.9453125, -88.68359375, -38.73779296875, -27.4078369140625, -26.1455078125, -33.842529296875, -32.224609375, -35.84375, -25.228515625]","[-34.62677001953125, -25.0078125, -36.65625, -37.890625, -52.91462707519531, -46.13433837890625, -34.283203125, -35.2109375, -34.88427734375, -30.494140625, -36.470703125, -93.1875, -58.896484375, -42.362548828125, -37.44921875, -57.4434814453125, -54.21630859375, -42.9375, -50.58203125]",A short story about a robot couple having dinner,allenai/OLMo-2-1124-13B
9,1.0724412854849668,"[-0.2871234600360577, 0.7587890625, 0.54345703125, 0.7751277043269231, 0.05661733526932566, 1.5672360743795122, 0.6686448317307693, 1.38809814453125, 1.3719670222355769, 0.37138148716517855, 1.2295809659090908, 0.4911221590909091, 2.003452845982143, 1.1428375244140625, 2.252001953125, 1.7421061197916667, 1.9560546875, 0.7711588541666666, 1.573874080882353]","[-37.2724609375, -19.0859375, -28.09228515625, -26.35791015625, -56.06648254394531, -23.237314343452454, -27.7294921875, -24.3182373046875, -19.7403564453125, -34.9412841796875, -23.263671875, -88.81640625, -41.76904296875, -33.600341796875, -26.49560546875, -34.7718505859375, -30.83984375, -49.302734375, -36.427734375]","[-33.53985595703125, -25.15625, -34.0703125, -36.4345703125, -57.1422119140625, -45.178619384765625, -36.421875, -38.19921875, -37.575927734375, -40.140625, -36.7890625, -99.62109375, -69.8173828125, -51.8857421875, -49.015625, -60.9034423828125, -58.224609375, -58.556640625, -63.18359375]",A short story about a couple having dinner,meta-llama/Llama-3.1-8B-Instruct
