scene number,Start Time (s) ,End Time (s) ,"Start Time (TRs, 1.5s)","End Time (TRs, 1.5s)",scene number - concatenated,Start Time (s)  - concatenated,End Time (s)  - concatenated,"Start Time (TRs, 1.5s) - concatenated","End Time (TRs, 1.5s) - concatenated",Start Time (m.ss),scene title,Space-In/Outdoor or unknown,scene start time,scene end time,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online
46,602,622,402,416,46,602,622,402,416,10.02,asparagus aphrodesiac,Indoor,10:02,10:22,4,8,4,3,7,7,6,3
47,623,636,416,425,47,623,636,416,425,10.23,how was your day/you're a computer,Indoor,10:23,10:36,4,4,7,7,10,9,9,5
48,637,650,426,434,48,637,650,426,434,10.37,cigarettes,Indoor,10:37,10:50,5,2,5,7,9,9,9,5
49,651,677,435,452,49,651,677,435,452,10.51,she complains,Indoor,10:51,11:17,4,2,4,7,9,8,10,4
50,678,697,453,466,50,678,697,453,466,11.18,"she apologizes, moves to his lap",Indoor,11:18,11:37,4,4,5,6,9,7,9,5
51,698,711,466,475,51,698,711,466,475,11.38,robot switch / turned off,Indoor,11:38,11:51,10,10,10,10,10,10,10,10
52,713,728,476,486,52,713,728,476,486,11.53,she sits back down,Indoor,11:53,12:08,2,2,4,7,9,9,9,7
53,729,748,487,500,53,729,748,487,500,12.09,looks for new robot online,Indoor,12:09,12:28,2,9,8,9,9,7,10,7
54,749,778,500,520,54,749,778,500,520,12.29,calls robot store /unsatisfied,Indoor,12:29,12:58,2,9,5,8,9,9,10,9
55,779,820,520,548,55,779,820,520,548,12.59,rock climbing masseuse,Indoor,12:59,13:40,6,5,6,6,8,10,10,8
56,821,823,548,550,56,821,823,548,550,13.41,cut scene/bang on door,Indoor,13:41,13:43,2,1,4,6,8,7,9,6
57,824,851,550,568,57,824,851,550,568,13.44,delivery,Indoor,13:44,14:11,2,9,5,8,9,8,10,6
58,852,870,569,581,58,852,870,569,581,14.12,goodbye old bf,Indoor,14:12,14:30,7,7,8,7,9,8,10,7
59,871,873,582,583,59,871,873,582,583,14.31,takes the ring,Indoor,14:31,14:33,6,7,8,6,8,8,10,6
60,874,882,584,589,60,874,882,584,589,14.34,new ringfinger,Indoor,14:34,14:42,6,7,8,8,8,8,10,7
61,883,900,590,601,61,883,900,590,601,14.43,power up new bf,Indoor,14:43,15:00,6,7,6,10,3,7,9,5
62,901,909,602,607,62,901,909,602,607,15.01,new BF refuses wine,Indoor,15:01,15:09,7,8,9,6,7,8,10,5
63,910,928,608,620,63,910,928,608,620,15.1,asparagus aphrodesiac reversed,Indoor,15:10,15:28,8,8,9,6,8,8,10,5
64,929,936,620,625,64,929,936,620,625,15.29,he goes to her,Indoor,15:29,15:36,2,1,5,5,8,8,9,5
65,937,966,626,645,65,937,966,626,645,15.37,tell me about your day massage,Indoor,15:37,16:06,2,4,5,7,4,8,9,5
66,967,976,646,652,66,967,976,646,652,16.07,shuts her off,Indoor,16:07,16:16,10,10,10,10,10,10,10,9
67,977,998,652,666,67,977,998,652,666,16.17,he sits down to watch tv,Indoor,16:17,16:38,2,6,8,7,3,9,9,6
68,999,1004,667,670,68,999,1004,667,670,16.39,THE SHOE title,Unknown,16:39,16:44,2,5,1,NA,,,,
69,1005,1023,671,683,69,1005,1023,671,683,16.45,opening shot of shoe,Outdoor,16:45,17:03,4,3,2,4,2,7,3,1
70,1024,1043,684,696,70,1024,1043,684,696,17.04,milk carton/drinking,Outdoor,17:04,17:23,2,1,4,3,1,5,6,1
71,1044,1047,697,699,71,1044,1047,697,699,17.24,sees girl on street,Outdoor,17:24,17:27,2,5,4,7,2,5,6,1
72,1048,1053,700,703,72,1048,1053,700,703,17.28,man approaches,Outdoor,17:28,17:33,3,6,3,5,2,6,7,2
73,1054,1057,704,706,73,1054,1057,704,706,17.34,"walks away, trips",Outdoor,17:34,17:37,2,7,7,5,1,5,3,4
74,1058,1066,706,712,74,1058,1066,706,712,17.38,watches girl on street,Outdoor,17:38,17:46,2,7,5,8,4,7,7,4
75,1067,1070,712,714,75,1067,1070,712,714,17.47,puts down milk carton,Outdoor,17:47,17:50,2,3,2,3,2,6,6,4
76,1071,1092,715,729,76,1071,1092,715,729,17.51,they mimic eachother,Outdoor,17:51,18:12,6,10,10,10,9,8,9,5
77,1093,1097,730,732,77,1093,1097,730,732,18.13,she sees car coming,Outdoor,18:13,18:17,3,9,8,10,9,10,10,9
78,1098,1101,733,735,78,1098,1101,733,735,18.18,car hits him,Outdoor,18:18,18:21,6,10,8,10,NA,10,10,9
79,1102,1112,736,742,79,1102,1112,736,742,18.22,she watches car go flying,Outdoor,18:22,18:32,3,9,7,9,NA,10,10,9
80,1113,1133,743,756,80,1113,1133,743,756,18.33,"shoe comes flying, lands among others",Outdoor,18:33,18:53,7,5,10,7,NA,8,10,7
81,1134,1140,757,761,81,1134,1140,757,761,18.54,KEITH REYNOLDS title,Unknown,18:54,19:00,2,3,1,NA,NA,NA,NA,NA
82,1141,1151,762,768,82,1141,1151,762,768,19.01,car drives up,Outdoor,19:01,19:11,1,1,1,3,3,6,3,1
83,1152,1154,769,770,83,1152,1154,769,770,19.12,can't make it tonight title,Unknown,19:12,19:14,3,6,3,2,7,7,6,1
84,1155,1172,771,782,84,1155,1172,771,782,19.15,person gets out of car,Outdoor,19:15,19:32,1,2,2,2,1,8,4,1
85,1173,1190,783,794,85,1173,1190,783,794,19.33,walks/music/introduction,Outdoor,19:33,19:50,8,4,7,6,8,9,7,3
86,1191,1203,795,803,86,1191,1203,795,803,19.51,promotion/sarah,Indoor,19:51,20:03,6,5,5,9,9,8,7,3
87,1204,1216,804,812,87,1204,1216,804,812,20.04,sarah's coffee,Indoor,20:04,20:16,6,6,5,7,7,8,8,4
88,1217,1228,812,820,88,1217,1228,812,820,20.17,a fall by the window,Indoor,20:17,20:28,4,1,2,9,9,9,8,7
89,1228,1243,820,830,89,1228,1243,820,830,20.28,keith goes up,Indoor,20:28,20:43,1,2,5,4,6,8,9,4
90,1244,1251,830,835,90,1244,1251,830,835,20.44,patrick campbell,Indoor,20:44,20:51,7,8,6,7,9,9,9,5
91,1252,1259,836,840,91,1252,1259,836,840,20.52,keith doesn't get promotion,Indoor,20:52,20:59,8,10,8,9,10,8,10,6
