scene number,Start Time (s) ,End Time (s) ,"Start Time (TRs, 1.5s)","End Time (TRs, 1.5s)",scene number - concatenated,Start Time (s)  - concatenated,End Time (s)  - concatenated,"Start Time (TRs, 1.5s) - concatenated","End Time (TRs, 1.5s) - concatenated",Start Time (m.ss),scene title,Space-In/Outdoor or unknown,scene start time,scene end time,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online
82,1050,1056,701,705,188,2543,2549,1697,1701,17.3,woman threatens person on phone to go to police,Indoor,17:30,17:36,5,5,7,7,9,7,9,7
83,1057,1064,706,710,189,2550,2557,1702,1706,17.37,"woman smashes phone in street, cries",Outdoor,17:37,17:44,6,6,6,8,8,7,10,6
84,1065,1077,711,719,190,2558,2570,1707,1715,17.45,man asks her for money for broken phone,Outdoor,17:45,17:57,3,6,6,6,5,6,9,7
85,1078,1079,720,720,191,2571,2572,1716,1716,17.58,"she says ""he's here""",Indoor,17:58,17:59,6,5,8,4,6,6,10,7
86,1080,1092,721,729,192,2573,2585,1717,1725,18,"shot of 2nd man driving up in car w music, parks",Indoor,18:00,18:12,6,5,7,8,9,7,10,6
87,1093,1100,730,734,193,2586,2593,1726,1730,18.13,"they see him from far down block, man asks ""who's that""",Outdoor,18:13,18:20,4,6,5,5,8,6,8,6
88,1101,1115,735,744,194,2594,2608,1731,1740,18.21,"she walks toward car, 1st man follows asking for money",Indoor,18:21,18:35,3,7,4,5,6,4,9,6
89,1116,1121,745,748,195,2609,2614,1741,1744,18.36,"shot of 2nd man in car w loud music, he gets out",Indoor,18:36,18:41,3,5,5,3,8,5,10,7
90,1122,1129,749,754,196,2615,2622,1745,1750,18.42,"""this time you've gone too far"" she mumbles as she approaches car",Indoor,18:42,18:49,5,8,6,7,8,6,8,5
91,1130,1141,754,762,197,2623,2634,1750,1758,18.5,"woman and 2nd man argue, ""where is she?""",Outdoor,18:50,19:01,5,8,7,8,9,6,9,6
92,1142,1160,762,774,198,2635,2653,1758,1770,19.02,two men size eachother up,Indoor,19:02,19:20,5,5,5,6,10,6,9,7
93,1161,1167,775,779,199,2654,2660,1771,1775,19.21,"1st man recognizes second as magician, and she as his assistant",Outdoor,19:21,19:27,6,8,7,8,10,8,10,7
94,1168,1174,780,784,200,2661,2667,1776,1780,19.28,woman pulls gun,Outdoor,19:28,19:34,6,7,6,7,10,7,10,7
95,1175,1183,784,790,201,2668,2676,1780,1786,19.35,magician pulls out 2nd gun,Outdoor,19:35,19:43,6,7,6,7,10,7,10,7
96,1184,1190,790,794,202,2677,2683,1786,1790,19.44,she fires a shot,Indoor,19:44,19:50,3,9,8,10,10,7,10,7
97,1191,1197,795,799,203,2684,2690,1791,1795,19.51,howl/cry heard coming from inside the car,Indoor,19:51,19:57,6,7,8,9,9,9,10,7
98,1198,1210,800,808,204,2691,2703,1796,1804,19.58,"woman runs toward car, magician stops 1st man from running away",Outdoor,19:58,20:10,5,6,6,7,10,7,9,6
99,1211,1213,808,810,205,2704,2706,1804,1806,20.11,"woman is opening trunk of the car, cries/howls inside",Outdoor,20:11,20:13,4,8,8,9,10,7,10,6
100,1214,1227,810,819,206,2707,2720,1806,1815,20.14,"magician pulls out relic, begins to hypnotize first man",Outdoor,20:14,20:27,4,7,7,10,10,8,10,7
101,1228,1235,820,824,207,2721,2728,1816,1820,20.28,woman breaks into trunk,Outdoor,20:28,20:35,4,6,5,8,9,7,10,7
102,1236,1262,825,842,208,2729,2755,1821,1838,20.36,first man slowly falls to ground as magician speaks,Outdoor,20:36,21:02,5,7,8,10,9,9,10,7
103,1263,1268,843,846,209,2756,2761,1839,1842,21.03,"man on ground, ice cream melting, starts to howl",Indoor,21:03,21:08,5,8,9,10,9,7,8,7
104,1269,1276,847,852,210,2762,2769,1843,1848,21.09,magician checks spell written in pocket,Indoor,21:09,21:16,7,4,7,8,9,7,9,6
105,1277,1287,852,859,211,2770,2780,1848,1855,21.17,"woman approaches again with gun, shoots magician",Indoor,21:17,21:27,6,9,8,8,10,8,10,8
106,1288,1291,860,862,212,2781,2784,1856,1858,21.28,"magician shoots back, dies",Indoor,21:28,21:31,6,9,8,8,10,8,10,8
107,1292,1323,862,883,213,2785,2816,1858,1879,21.32,"first man eats ice cream off ground barking like a dog, crawls away on all fours toward car",Indoor,21:32,22:03,8,10,7,10,10,8,10,6
108,1324,1331,884,888,214,2817,2824,1880,1884,22.04,"2nd woman (from car trunk) appears on all fours, also barking",Indoor,22:04,22:11,8,10,10,10,10,9,10,7
109,1332,1356,889,905,215,2825,2849,1885,1901,22.12,"they smell eachother, act like dogs in the street",Indoor,22:12,22:36,8,9,10,9,8,7,10,6
110,1357,1372,906,916,216,2850,2865,1902,1912,22.37,"they crawl away, barking",Indoor,22:37,22:52,9,7,6,9,7,7,7,6
